SEX,COUNTRY,YEAR,rate
FMLE,CAF,2017,5.4
MLE,CAF,2014,25.3844
FMLE,CAF,2011,7.11
FMLE,CAN,2011,6.14
BTSX,CAN,2018,11.9896
FMLE,CAN,2015,6.85
FMLE,CAN,2019,6.09
MLE,CAN,2010,17.7742
FMLE,CAN,2010,6.42
FMLE,CAN,2017,6.42
MLE,CAN,2011,16.4837
MLE,CAN,2014,18.6906
FMLE,CAN,2018,6.2
MLE,CAN,2015,19.2392
MLE,CAN,2016,17.6149
FMLE,CAN,2012,6.18
FMLE,CAN,2013,6.37
BTSX,CHE,2011,14.6301
FMLE,CHE,2015,9.5
BTSX,CHE,2015,14.9638
BTSX,CHE,2018,14.5035
BTSX,CHE,2017,14.6492
BTSX,CHE,2012,14.7111
BTSX,CHE,2010,14.4735
FMLE,CHE,2013,9.27
FMLE,CHE,2011,9.19
MLE,CHE,2014,19.8419
BTSX,CAN,2015,12.9932
BTSX,CAN,2019,11.8057
MLE,CAN,2013,17.9078
BTSX,CAN,2010,12.0529
FMLE,CAN,2016,6.21
